dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1/1/01,5.146,0.176,Shanghai,China,31.35N,120.63E
2/1/01,6.512,0.226,Shanghai,China,31.35N,120.63E
3/1/01,11.164,0.137,Shanghai,China,31.35N,120.63E
4/1/01,15.446,0.224,Shanghai,China,31.35N,120.63E
5/1/01,21.63,0.261,Shanghai,China,31.35N,120.63E
6/1/01,24.559,0.435,Shanghai,China,31.35N,120.63E
7/1/01,29.818,0.249,Shanghai,China,31.35N,120.63E
8/1/01,26.889,0.362,Shanghai,China,31.35N,120.63E
9/1/01,24.15,0.213,Shanghai,China,31.35N,120.63E
10/1/01,19.221,0.161,Shanghai,China,31.35N,120.63E
11/1/01,12.472,0.195,Shanghai,China,31.35N,120.63E
12/1/01,6.205,0.297,Shanghai,China,31.35N,120.63E
1/1/02,6.232,0.297,Shanghai,China,31.35N,120.63E
2/1/02,8.121,0.142,Shanghai,China,31.35N,120.63E
3/1/02,12.847,0.215,Shanghai,China,31.35N,120.63E
4/1/02,16.717,0.274,Shanghai,China,31.35N,120.63E
5/1/02,19.781,0.334,Shanghai,China,31.35N,120.63E
6/1/02,25.862,0.217,Shanghai,China,31.35N,120.63E
7/1/02,28.018,0.388,Shanghai,China,31.35N,120.63E
8/1/02,27.1,0.245,Shanghai,China,31.35N,120.63E
9/1/02,24.178,0.208,Shanghai,China,31.35N,120.63E
10/1/02,18.942,0.369,Shanghai,China,31.35N,120.63E
11/1/02,12.181,0.224,Shanghai,China,31.35N,120.63E
12/1/02,6.669,0.266,Shanghai,China,31.35N,120.63E
1/1/03,3.434,0.28,Shanghai,China,31.35N,120.63E
2/1/03,6.623,0.28,Shanghai,China,31.35N,120.63E
3/1/03,9.91,0.238,Shanghai,China,31.35N,120.63E
4/1/03,15.434,0.184,Shanghai,China,31.35N,120.63E
5/1/03,20.165,0.254,Shanghai,China,31.35N,120.63E
6/1/03,24.736,0.309,Shanghai,China,31.35N,120.63E
7/1/03,29.224,0.285,Shanghai,China,31.35N,120.63E
8/1/03,28.701,0.319,Shanghai,China,31.35N,120.63E
9/1/03,25.588,0.212,Shanghai,China,31.35N,120.63E
